step,mloss,gloss,loss
1.0,2.2152,1.3933,3.6085
2.0,36.6014,99789.6094,99826.2108
3.0,1.84,3.3112,5.1512
4.0,1.6743,1.8198,3.4941
5.0,1.6677,1.0543,2.722
6.0,1.4298,1.0103,2.4401
7.0,1.4252,1.9056,3.3308
8.0,1.3706,1.6283,2.9989
9.0,1.2871,1.0583,2.3453999999999997
10.0,1.2558,1.0857,2.3415
11.0,1.7778,1.6926,3.4704
12.0,1.8044,2.0517,3.8560999999999996
13.0,1.7406,4.3602,6.1008
14.0,1.7145,5.5982,7.3127
15.0,2.5189,4.1283,6.6472
16.0,2.1984,2.08,4.2783999999999995
17.0,1.6962,1.8984,3.5946
18.0,1.7756,1.4848,3.2603999999999997
19.0,1.829,1.4932,3.3222
20.0,1.6455,1.4398,3.0853
21.0,1.5206,1.3292,2.8498
22.0,1.3064,1.1409,2.4473000000000003
23.0,1.3268,1.1879,2.5147
24.0,1.3124,1.0447,2.3571
25.0,1.3248,1.109,2.4337999999999997
26.0,1.336,1.0522,2.3882000000000003
27.0,1.2766,1.0292,2.3057999999999996
28.0,1.2596,1.0229,2.2824999999999998
29.0,1.2266,1.0226,2.2492
30.0,1.2116,1.0461,2.2577
31.0,1.2272,1.0143,2.2415000000000003
32.0,1.2368,1.0208,2.2576
33.0,1.1797,1.0245,2.2042
34.0,1.2357,1.0027,2.2384
35.0,1.2175,1.0095,2.2270000000000003
36.0,1.235,1.003,2.238
37.0,1.1715,1.0018,2.1733000000000002
38.0,1.2049,1.0059,2.2108
39.0,1.2225,0.9934,2.2159
40.0,1.1804,1.0218,2.2022
41.0,1.224,1.0045,2.2285
42.0,1.2023,1.0022,2.2045
43.0,1.204,0.9942,2.1982
44.0,1.1832,1.0041,2.1873
45.0,1.2468,1.0075,2.2542999999999997
46.0,1.1441,1.0099,2.154
47.0,1.1759,1.0183,2.1942
48.0,1.2189,1.0007,2.2196
49.0,1.2006,1.0055,2.2061
50.0,1.1401,0.9965,2.1366
51.0,1.1651,0.9949,2.16
52.0,1.1782,0.989,2.1672
53.0,1.1829,0.997,2.1799
54.0,1.2185,0.9949,2.2134
55.0,1.2638,1.0148,2.2786
56.0,1.2012,1.0152,2.2164
57.0,1.187,1.0141,2.2011000000000003
58.0,1.184,0.9907,2.1747
59.0,1.1681,0.9862,2.1543
60.0,1.1694,1.0054,2.1748000000000003
61.0,1.2031,1.0066,2.2096999999999998
62.0,1.2991,1.0126,2.3117
63.0,1.22,1.0126,2.2325999999999997
64.0,1.1992,1.0092,2.2084
65.0,1.1822,1.0093,2.1915
66.0,1.1809,1.0078,2.1887
67.0,1.2142,0.9987,2.2129
68.0,1.1562,1.0077,2.1639
69.0,1.1809,1.0049,2.1858
70.0,1.1638,1.0159,2.1797
71.0,1.1985,0.9969,2.1954
72.0,1.1507,1.0033,2.154
73.0,1.2322,0.9974,2.2296
74.0,1.1486,0.9997,2.1483
