step,mloss,gloss,loss
1000.0,1.5954,1.4418,3.0372
2000.0,1.4026,0.955,2.3576
3000.0,1.3803,0.9403,2.3206
4000.0,1.3759,0.9261,2.302
5000.0,1.3583,0.9065,2.2648
6000.0,1.3595,0.8909,2.2504
7000.0,1.3479,0.8715,2.2194000000000003
8000.0,1.3497,0.863,2.2127
9000.0,1.3415,0.8551,2.1966
10000.0,1.3431,0.8457,2.1888
11000.0,1.3428,0.839,2.1818
12000.0,1.3384,0.8303,2.1687000000000003
13000.0,1.3411,0.8235,2.1646
14000.0,1.3341,0.8188,2.1529
15000.0,1.3391,0.8159,2.155
16000.0,1.3325,0.8144,2.1469
17000.0,1.3345,0.8126,2.1471
18000.0,1.3333,0.8054,2.1387
19000.0,1.3283,0.8016,2.1299
20000.0,1.3264,0.7999,2.1263
21000.0,1.3269,0.7974,2.1243
22000.0,1.3207,0.795,2.1157
23000.0,1.3217,0.792,2.1137
24000.0,1.3197,0.7862,2.1059
25000.0,1.3183,0.7836,2.1019
26000.0,1.3216,0.7817,2.1033
27000.0,1.3294,0.7827,2.1121
28000.0,1.3159,0.7744,2.0903
29000.0,1.3157,0.7688,2.0845000000000002
30000.0,1.3196,0.7684,2.088
31000.0,1.3116,0.7633,2.0749
32000.0,1.3124,0.7618,2.0742000000000003
33000.0,1.3114,0.7548,2.0662
34000.0,1.3102,0.7514,2.0616
35000.0,1.314,0.7492,2.0632
36000.0,1.3071,0.7404,2.0475
37000.0,1.3038,0.739,2.0428
38000.0,1.3085,0.7382,2.0467
39000.0,1.3029,0.739,2.0419
40000.0,1.2998,0.7368,2.0366
41000.0,1.2996,0.7349,2.0345
42000.0,1.2999,0.7353,2.0352
43000.0,1.2986,0.734,2.0326
44000.0,1.2896,0.7293,2.0189
45000.0,1.2961,0.7293,2.0254
46000.0,1.2923,0.7279,2.0202
47000.0,1.2963,0.7287,2.025
48000.0,1.2871,0.7249,2.012
49000.0,1.2922,0.7259,2.0181
50000.0,1.2834,0.722,2.0054
51000.0,1.2879,0.7228,2.0107
52000.0,1.2839,0.7203,2.0042
53000.0,1.2846,0.7196,2.0042
54000.0,1.2845,0.7186,2.0031
55000.0,1.2782,0.7156,1.9938
56000.0,1.2765,0.7099,1.9864
57000.0,1.2725,0.7053,1.9778
58000.0,1.2752,0.7023,1.9775
59000.0,1.2683,0.7007,1.9689999999999999
60000.0,1.2713,0.6998,1.9711
61000.0,1.2691,0.6983,1.9674
62000.0,1.2674,0.6966,1.964
63000.0,1.2682,0.6923,1.9605000000000001
64000.0,1.2659,0.6903,1.9562
65000.0,1.2651,0.6894,1.9545
66000.0,1.2602,0.6884,1.9485999999999999
67000.0,1.2592,0.6882,1.9474
68000.0,1.257,0.6862,1.9432
69000.0,1.2541,0.6858,1.9399
70000.0,1.2567,0.6854,1.9421
71000.0,1.2518,0.6847,1.9365
72000.0,1.2489,0.6841,1.9329999999999998
73000.0,1.2494,0.6827,1.9321000000000002
74000.0,1.2508,0.6782,1.9289999999999998
75000.0,1.2516,0.6759,1.9275
76000.0,1.2466,0.6734,1.92
77000.0,1.2457,0.6725,1.9182000000000001
78000.0,1.2473,0.6722,1.9195000000000002
79000.0,1.2452,0.6712,1.9164
80000.0,1.2428,0.6699,1.9127
81000.0,1.2418,0.6699,1.9117000000000002
82000.0,1.2396,0.6687,1.9083
83000.0,1.2366,0.6683,1.9049
84000.0,1.2389,0.6674,1.9062999999999999
85000.0,1.2387,0.6683,1.907
86000.0,1.2339,0.6659,1.8998
87000.0,1.2274,0.6654,1.8928
88000.0,1.237,0.6649,1.9019000000000001
89000.0,1.2259,0.664,1.8899
90000.0,1.2273,0.664,1.8913000000000002
91000.0,1.2297,0.6606,1.8902999999999999
92000.0,1.2262,0.6582,1.8843999999999999
93000.0,1.2213,0.6572,1.8785
94000.0,1.2249,0.6564,1.8813
95000.0,1.223,0.6556,1.8786
96000.0,1.2223,0.6548,1.8771
97000.0,1.2173,0.6543,1.8716
98000.0,1.2199,0.6541,1.874
99000.0,1.2199,0.6533,1.8732
100000.0,1.2164,0.6532,1.8696
